"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_segregating_mutations_cloning"
"1",0.01,0.2,0,1,4793
"2",0.01,0.2,0,2,4949
"3",0.01,0.2,0,3,4740
"4",0.01,0.2,0,4,4864
"5",0.01,0.2,0,5,5076
"6",0.01,0.2,0,6,4635
"7",0.01,0.2,0,7,4730
"8",0.01,0.2,0,8,4642
"9",0.01,0.2,0,9,4848
"10",0.01,0.2,0,10,4921
"11",0.01,0.2,0,11,4832
"12",0.01,0.2,0,12,4917
"13",0.01,0.2,0,13,5011
"14",0.01,0.2,0,14,4795
"15",0.01,0.2,0,15,5015
"16",0.01,0.2,0,16,4814
"17",0.01,0.2,0,17,4869
"18",0.01,0.2,0,18,4913
"19",0.01,0.2,0,19,4961
"20",0.01,0.2,0,20,4539
"21",0.01,0.2,0,21,4818
"22",0.01,0.2,0,22,4926
"23",0.01,0.2,0,23,4860
"24",0.01,0.2,0,24,4715
"25",0.01,0.2,0,25,4845
"26",0.01,0.2,0,26,4805
"27",0.01,0.2,0,27,4943
"28",0.01,0.2,0,28,4696
"29",0.01,0.2,0,29,5079
"30",0.01,0.2,0,30,4606
"31",0.01,0.2,0,31,4870
"32",0.01,0.2,0,32,4675
"33",0.01,0.2,0,33,4985
"34",0.01,0.2,0,34,4792
"35",0.01,0.2,0,35,4828
"36",0.01,0.2,0,36,4623
"37",0.01,0.2,0,37,4762
"38",0.01,0.2,0,38,4751
"39",0.01,0.2,0,39,4796
"40",0.01,0.2,0,40,5038
"41",0.01,0.2,0,41,4923
"42",0.01,0.2,0,42,4796
"43",0.01,0.2,0,43,4834
"44",0.01,0.2,0,44,4841
"45",0.01,0.2,0,45,4605
"46",0.01,0.2,0,46,4809
"47",0.01,0.2,0,47,4799
"48",0.01,0.2,0,48,4909
"49",0.01,0.2,0,49,4936
"50",0.01,0.2,0,50,4874
"51",0.01,0.2,0,51,4826
"52",0.01,0.2,0,52,4994
"53",0.01,0.2,0,53,4861
"54",0.01,0.2,0,54,4929
"55",0.01,0.2,0,55,4517
"56",0.01,0.2,0,56,4880
"57",0.01,0.2,0,57,4738
"58",0.01,0.2,0,58,4934
"59",0.01,0.2,0,59,4653
"60",0.01,0.2,0,60,4880
"61",0.01,0.2,0,61,4817
"62",0.01,0.2,0,62,4948
"63",0.01,0.2,0,63,4634
"64",0.01,0.2,0,64,4696
"65",0.01,0.2,0,65,5128
"66",0.01,0.2,0,66,4902
"67",0.01,0.2,0,67,4669
"68",0.01,0.2,0,68,4848
"69",0.01,0.2,0,69,4917
"70",0.01,0.2,0,70,4934
"71",0.01,0.2,0,71,4861
"72",0.01,0.2,0,72,4766
"73",0.01,0.2,0,73,4988
"74",0.01,0.2,0,74,4734
"75",0.01,0.2,0,75,4972
"76",0.01,0.2,0,76,4848
"77",0.01,0.2,0,77,4847
"78",0.01,0.2,0,78,4971
"79",0.01,0.2,0,79,4858
"80",0.01,0.2,0,80,4542
"81",0.01,0.2,0,81,4902
"82",0.01,0.2,0,82,4653
"83",0.01,0.2,0,83,4848
"84",0.01,0.2,0,84,4648
"85",0.01,0.2,0,85,4682
"86",0.01,0.2,0,86,4771
"87",0.01,0.2,0,87,4811
"88",0.01,0.2,0,88,4984
"89",0.01,0.2,0,89,4979
"90",0.01,0.2,0,90,4928
"91",0.01,0.2,0,91,5107
"92",0.01,0.2,0,92,4993
"93",0.01,0.2,0,93,4936
"94",0.01,0.2,0,94,4791
"95",0.01,0.2,0,95,4757
"96",0.01,0.2,0,96,4821
"97",0.01,0.2,0,97,4563
"98",0.01,0.2,0,98,4850
"99",0.01,0.2,0,99,4760
"100",0.01,0.2,0,100,4633
"101",0.01,0.2,0.2,1,4778
"102",0.01,0.2,0.2,2,4560
"103",0.01,0.2,0.2,3,4871
"104",0.01,0.2,0.2,4,4790
"105",0.01,0.2,0.2,5,4941
"106",0.01,0.2,0.2,6,4852
"107",0.01,0.2,0.2,7,4751
"108",0.01,0.2,0.2,8,4881
"109",0.01,0.2,0.2,9,4700
"110",0.01,0.2,0.2,10,4941
"111",0.01,0.2,0.2,11,5045
"112",0.01,0.2,0.2,12,4747
"113",0.01,0.2,0.2,13,5129
"114",0.01,0.2,0.2,14,4736
"115",0.01,0.2,0.2,15,4921
"116",0.01,0.2,0.2,16,4831
"117",0.01,0.2,0.2,17,4700
"118",0.01,0.2,0.2,18,4906
"119",0.01,0.2,0.2,19,4541
"120",0.01,0.2,0.2,20,4781
"121",0.01,0.2,0.2,21,4971
"122",0.01,0.2,0.2,22,5022
"123",0.01,0.2,0.2,23,4878
"124",0.01,0.2,0.2,24,4840
"125",0.01,0.2,0.2,25,4845
"126",0.01,0.2,0.2,26,4907
"127",0.01,0.2,0.2,27,4910
"128",0.01,0.2,0.2,28,4959
"129",0.01,0.2,0.2,29,5042
"130",0.01,0.2,0.2,30,4962
"131",0.01,0.2,0.2,31,4693
"132",0.01,0.2,0.2,32,4835
"133",0.01,0.2,0.2,33,4516
"134",0.01,0.2,0.2,34,4675
"135",0.01,0.2,0.2,35,4811
"136",0.01,0.2,0.2,36,5052
"137",0.01,0.2,0.2,37,4721
"138",0.01,0.2,0.2,38,4917
"139",0.01,0.2,0.2,39,4814
"140",0.01,0.2,0.2,40,4849
"141",0.01,0.2,0.2,41,4966
"142",0.01,0.2,0.2,42,4883
"143",0.01,0.2,0.2,43,4636
"144",0.01,0.2,0.2,44,5004
"145",0.01,0.2,0.2,45,4884
"146",0.01,0.2,0.2,46,4821
"147",0.01,0.2,0.2,47,4784
"148",0.01,0.2,0.2,48,4661
"149",0.01,0.2,0.2,49,4696
"150",0.01,0.2,0.2,50,4864
"151",0.01,0.2,0.2,51,4566
"152",0.01,0.2,0.2,52,4984
"153",0.01,0.2,0.2,53,4761
"154",0.01,0.2,0.2,54,4765
"155",0.01,0.2,0.2,55,4795
"156",0.01,0.2,0.2,56,4859
"157",0.01,0.2,0.2,57,4752
"158",0.01,0.2,0.2,58,4742
"159",0.01,0.2,0.2,59,4967
"160",0.01,0.2,0.2,60,4746
"161",0.01,0.2,0.2,61,4715
"162",0.01,0.2,0.2,62,4683
"163",0.01,0.2,0.2,63,4644
"164",0.01,0.2,0.2,64,4587
"165",0.01,0.2,0.2,65,4789
"166",0.01,0.2,0.2,66,4738
"167",0.01,0.2,0.2,67,4768
"168",0.01,0.2,0.2,68,4984
"169",0.01,0.2,0.2,69,4822
"170",0.01,0.2,0.2,70,4925
"171",0.01,0.2,0.2,71,4664
"172",0.01,0.2,0.2,72,4670
"173",0.01,0.2,0.2,73,4761
"174",0.01,0.2,0.2,74,4717
"175",0.01,0.2,0.2,75,4715
"176",0.01,0.2,0.2,76,4718
"177",0.01,0.2,0.2,77,4703
"178",0.01,0.2,0.2,78,4853
"179",0.01,0.2,0.2,79,4711
"180",0.01,0.2,0.2,80,4796
"181",0.01,0.2,0.2,81,4703
"182",0.01,0.2,0.2,82,5011
"183",0.01,0.2,0.2,83,4917
"184",0.01,0.2,0.2,84,4919
"185",0.01,0.2,0.2,85,4770
"186",0.01,0.2,0.2,86,4824
"187",0.01,0.2,0.2,87,4893
"188",0.01,0.2,0.2,88,4719
"189",0.01,0.2,0.2,89,5049
"190",0.01,0.2,0.2,90,4692
"191",0.01,0.2,0.2,91,4740
"192",0.01,0.2,0.2,92,4854
"193",0.01,0.2,0.2,93,4893
"194",0.01,0.2,0.2,94,4656
"195",0.01,0.2,0.2,95,4827
"196",0.01,0.2,0.2,96,4883
"197",0.01,0.2,0.2,97,5096
"198",0.01,0.2,0.2,98,4586
"199",0.01,0.2,0.2,99,4963
"200",0.01,0.2,0.2,100,4809
"201",0.01,0.2,0.4,1,4934
"202",0.01,0.2,0.4,2,4886
"203",0.01,0.2,0.4,3,4800
"204",0.01,0.2,0.4,4,4963
"205",0.01,0.2,0.4,5,4771
"206",0.01,0.2,0.4,6,4633
"207",0.01,0.2,0.4,7,4986
"208",0.01,0.2,0.4,8,4826
"209",0.01,0.2,0.4,9,4842
"210",0.01,0.2,0.4,10,4762
"211",0.01,0.2,0.4,11,4744
"212",0.01,0.2,0.4,12,4807
"213",0.01,0.2,0.4,13,4742
"214",0.01,0.2,0.4,14,4822
"215",0.01,0.2,0.4,15,4681
"216",0.01,0.2,0.4,16,4853
"217",0.01,0.2,0.4,17,4760
"218",0.01,0.2,0.4,18,4916
"219",0.01,0.2,0.4,19,4852
"220",0.01,0.2,0.4,20,4598
"221",0.01,0.2,0.4,21,5037
"222",0.01,0.2,0.4,22,4956
"223",0.01,0.2,0.4,23,4894
"224",0.01,0.2,0.4,24,4984
"225",0.01,0.2,0.4,25,4737
"226",0.01,0.2,0.4,26,4818
"227",0.01,0.2,0.4,27,5092
"228",0.01,0.2,0.4,28,4728
"229",0.01,0.2,0.4,29,5031
"230",0.01,0.2,0.4,30,4856
"231",0.01,0.2,0.4,31,4574
"232",0.01,0.2,0.4,32,4789
"233",0.01,0.2,0.4,33,4832
"234",0.01,0.2,0.4,34,4716
"235",0.01,0.2,0.4,35,4596
"236",0.01,0.2,0.4,36,4738
"237",0.01,0.2,0.4,37,4969
"238",0.01,0.2,0.4,38,4647
"239",0.01,0.2,0.4,39,4925
"240",0.01,0.2,0.4,40,4980
"241",0.01,0.2,0.4,41,4748
"242",0.01,0.2,0.4,42,4632
"243",0.01,0.2,0.4,43,4874
"244",0.01,0.2,0.4,44,5012
"245",0.01,0.2,0.4,45,4695
"246",0.01,0.2,0.4,46,4771
"247",0.01,0.2,0.4,47,4984
"248",0.01,0.2,0.4,48,4829
"249",0.01,0.2,0.4,49,4972
"250",0.01,0.2,0.4,50,4856
"251",0.01,0.2,0.4,51,4865
"252",0.01,0.2,0.4,52,4888
"253",0.01,0.2,0.4,53,5166
"254",0.01,0.2,0.4,54,4649
"255",0.01,0.2,0.4,55,4671
"256",0.01,0.2,0.4,56,4870
"257",0.01,0.2,0.4,57,4764
"258",0.01,0.2,0.4,58,4902
"259",0.01,0.2,0.4,59,4663
"260",0.01,0.2,0.4,60,4888
"261",0.01,0.2,0.4,61,4488
"262",0.01,0.2,0.4,62,4894
"263",0.01,0.2,0.4,63,4786
"264",0.01,0.2,0.4,64,4755
"265",0.01,0.2,0.4,65,4711
"266",0.01,0.2,0.4,66,4826
"267",0.01,0.2,0.4,67,4971
"268",0.01,0.2,0.4,68,4777
"269",0.01,0.2,0.4,69,4706
"270",0.01,0.2,0.4,70,4930
"271",0.01,0.2,0.4,71,4911
"272",0.01,0.2,0.4,72,4767
"273",0.01,0.2,0.4,73,4652
"274",0.01,0.2,0.4,74,4777
"275",0.01,0.2,0.4,75,4596
"276",0.01,0.2,0.4,76,4771
"277",0.01,0.2,0.4,77,5180
"278",0.01,0.2,0.4,78,4687
"279",0.01,0.2,0.4,79,4474
"280",0.01,0.2,0.4,80,4791
"281",0.01,0.2,0.4,81,4444
"282",0.01,0.2,0.4,82,4821
"283",0.01,0.2,0.4,83,4873
"284",0.01,0.2,0.4,84,4906
"285",0.01,0.2,0.4,85,4814
"286",0.01,0.2,0.4,86,4846
"287",0.01,0.2,0.4,87,4856
"288",0.01,0.2,0.4,88,4529
"289",0.01,0.2,0.4,89,4792
"290",0.01,0.2,0.4,90,4758
"291",0.01,0.2,0.4,91,4903
"292",0.01,0.2,0.4,92,4825
"293",0.01,0.2,0.4,93,4748
"294",0.01,0.2,0.4,94,4521
"295",0.01,0.2,0.4,95,4716
"296",0.01,0.2,0.4,96,4713
"297",0.01,0.2,0.4,97,4734
"298",0.01,0.2,0.4,98,4897
"299",0.01,0.2,0.4,99,4594
"300",0.01,0.2,0.4,100,4688
"301",0.01,0.2,0.6,1,4700
"302",0.01,0.2,0.6,2,4651
"303",0.01,0.2,0.6,3,5069
"304",0.01,0.2,0.6,4,5038
"305",0.01,0.2,0.6,5,4585
"306",0.01,0.2,0.6,6,4543
"307",0.01,0.2,0.6,7,4824
"308",0.01,0.2,0.6,8,4736
"309",0.01,0.2,0.6,9,4915
"310",0.01,0.2,0.6,10,4989
"311",0.01,0.2,0.6,11,4625
"312",0.01,0.2,0.6,12,5147
"313",0.01,0.2,0.6,13,4998
"314",0.01,0.2,0.6,14,4676
"315",0.01,0.2,0.6,15,4747
"316",0.01,0.2,0.6,16,4990
"317",0.01,0.2,0.6,17,4980
"318",0.01,0.2,0.6,18,4722
"319",0.01,0.2,0.6,19,4771
"320",0.01,0.2,0.6,20,4644
"321",0.01,0.2,0.6,21,5040
"322",0.01,0.2,0.6,22,4732
"323",0.01,0.2,0.6,23,4923
"324",0.01,0.2,0.6,24,5077
"325",0.01,0.2,0.6,25,5018
"326",0.01,0.2,0.6,26,5026
"327",0.01,0.2,0.6,27,4928
"328",0.01,0.2,0.6,28,5011
"329",0.01,0.2,0.6,29,4780
"330",0.01,0.2,0.6,30,5078
"331",0.01,0.2,0.6,31,4690
"332",0.01,0.2,0.6,32,4902
"333",0.01,0.2,0.6,33,4776
"334",0.01,0.2,0.6,34,5080
"335",0.01,0.2,0.6,35,5126
"336",0.01,0.2,0.6,36,4805
"337",0.01,0.2,0.6,37,5150
"338",0.01,0.2,0.6,38,5145
"339",0.01,0.2,0.6,39,4552
"340",0.01,0.2,0.6,40,4991
"341",0.01,0.2,0.6,41,4725
"342",0.01,0.2,0.6,42,4778
"343",0.01,0.2,0.6,43,4892
"344",0.01,0.2,0.6,44,4745
"345",0.01,0.2,0.6,45,4844
"346",0.01,0.2,0.6,46,4808
"347",0.01,0.2,0.6,47,4478
"348",0.01,0.2,0.6,48,4930
"349",0.01,0.2,0.6,49,4738
"350",0.01,0.2,0.6,50,4722
"351",0.01,0.2,0.6,51,4931
"352",0.01,0.2,0.6,52,4872
"353",0.01,0.2,0.6,53,4869
"354",0.01,0.2,0.6,54,4786
"355",0.01,0.2,0.6,55,5220
"356",0.01,0.2,0.6,56,5054
"357",0.01,0.2,0.6,57,4655
"358",0.01,0.2,0.6,58,4662
"359",0.01,0.2,0.6,59,4981
"360",0.01,0.2,0.6,60,4904
"361",0.01,0.2,0.6,61,4610
"362",0.01,0.2,0.6,62,5045
"363",0.01,0.2,0.6,63,4875
"364",0.01,0.2,0.6,64,4801
"365",0.01,0.2,0.6,65,4903
"366",0.01,0.2,0.6,66,4593
"367",0.01,0.2,0.6,67,4744
"368",0.01,0.2,0.6,68,4919
"369",0.01,0.2,0.6,69,4660
"370",0.01,0.2,0.6,70,4687
"371",0.01,0.2,0.6,71,5078
"372",0.01,0.2,0.6,72,5025
"373",0.01,0.2,0.6,73,4842
"374",0.01,0.2,0.6,74,4722
"375",0.01,0.2,0.6,75,4597
"376",0.01,0.2,0.6,76,5087
"377",0.01,0.2,0.6,77,4645
"378",0.01,0.2,0.6,78,4615
"379",0.01,0.2,0.6,79,4979
"380",0.01,0.2,0.6,80,4965
"381",0.01,0.2,0.6,81,4935
"382",0.01,0.2,0.6,82,4743
"383",0.01,0.2,0.6,83,4818
"384",0.01,0.2,0.6,84,4888
"385",0.01,0.2,0.6,85,4998
"386",0.01,0.2,0.6,86,4792
"387",0.01,0.2,0.6,87,4982
"388",0.01,0.2,0.6,88,4752
"389",0.01,0.2,0.6,89,4888
"390",0.01,0.2,0.6,90,4860
"391",0.01,0.2,0.6,91,4961
"392",0.01,0.2,0.6,92,4953
"393",0.01,0.2,0.6,93,4760
"394",0.01,0.2,0.6,94,5026
"395",0.01,0.2,0.6,95,4908
"396",0.01,0.2,0.6,96,4899
"397",0.01,0.2,0.6,97,4963
"398",0.01,0.2,0.6,98,4883
"399",0.01,0.2,0.6,99,4972
"400",0.01,0.2,0.6,100,4902
"401",0.01,0.2,0.8,1,4771
"402",0.01,0.2,0.8,2,4734
"403",0.01,0.2,0.8,3,4893
"404",0.01,0.2,0.8,4,4672
"405",0.01,0.2,0.8,5,4960
"406",0.01,0.2,0.8,6,4722
"407",0.01,0.2,0.8,7,5080
"408",0.01,0.2,0.8,8,5007
"409",0.01,0.2,0.8,9,4821
"410",0.01,0.2,0.8,10,4877
"411",0.01,0.2,0.8,11,4945
"412",0.01,0.2,0.8,12,4993
"413",0.01,0.2,0.8,13,4676
"414",0.01,0.2,0.8,14,4763
"415",0.01,0.2,0.8,15,5054
