"","Selection_coefficient","Dominance_coefficient","Uniparenting_rate","Replicate","N_segregating_mutations_selfing"
"1",0.01,0.2,0,1,4783
"2",0.01,0.2,0,2,4592
"3",0.01,0.2,0,3,4546
"4",0.01,0.2,0,4,4666
"5",0.01,0.2,0,5,4506
"6",0.01,0.2,0,6,4763
"7",0.01,0.2,0,7,4807
"8",0.01,0.2,0,8,4757
"9",0.01,0.2,0,9,4653
"10",0.01,0.2,0,10,4774
"11",0.01,0.2,0,11,4775
"12",0.01,0.2,0,12,4889
"13",0.01,0.2,0,13,4615
"14",0.01,0.2,0,14,4762
"15",0.01,0.2,0,15,4855
"16",0.01,0.2,0,16,4866
"17",0.01,0.2,0,17,4686
"18",0.01,0.2,0,18,4711
"19",0.01,0.2,0,19,4736
"20",0.01,0.2,0,20,4819
"21",0.01,0.2,0,21,4943
"22",0.01,0.2,0,22,4999
"23",0.01,0.2,0,23,4755
"24",0.01,0.2,0,24,4776
"25",0.01,0.2,0,25,4953
"26",0.01,0.2,0,26,4680
"27",0.01,0.2,0,27,5052
"28",0.01,0.2,0,28,4899
"29",0.01,0.2,0,29,4652
"30",0.01,0.2,0,30,4715
"31",0.01,0.2,0,31,4872
"32",0.01,0.2,0,32,4763
"33",0.01,0.2,0,33,4820
"34",0.01,0.2,0,34,4590
"35",0.01,0.2,0,35,4677
"36",0.01,0.2,0,36,4777
"37",0.01,0.2,0,37,4782
"38",0.01,0.2,0,38,4697
"39",0.01,0.2,0,39,4719
"40",0.01,0.2,0,40,4977
"41",0.01,0.2,0,41,4710
"42",0.01,0.2,0,42,4676
"43",0.01,0.2,0,43,4791
"44",0.01,0.2,0,44,4766
"45",0.01,0.2,0,45,4716
"46",0.01,0.2,0,46,4645
"47",0.01,0.2,0,47,4687
"48",0.01,0.2,0,48,4792
"49",0.01,0.2,0,49,5103
"50",0.01,0.2,0,50,4894
"51",0.01,0.2,0,51,4843
"52",0.01,0.2,0,52,4830
"53",0.01,0.2,0,53,4898
"54",0.01,0.2,0,54,4862
"55",0.01,0.2,0,55,4750
"56",0.01,0.2,0,56,5155
"57",0.01,0.2,0,57,4684
"58",0.01,0.2,0,58,4737
"59",0.01,0.2,0,59,5041
"60",0.01,0.2,0,60,4624
"61",0.01,0.2,0,61,4565
"62",0.01,0.2,0,62,4719
"63",0.01,0.2,0,63,4864
"64",0.01,0.2,0,64,4859
"65",0.01,0.2,0,65,4783
"66",0.01,0.2,0,66,4795
"67",0.01,0.2,0,67,4879
"68",0.01,0.2,0,68,4850
"69",0.01,0.2,0,69,4775
"70",0.01,0.2,0,70,4846
"71",0.01,0.2,0,71,5000
"72",0.01,0.2,0,72,4752
"73",0.01,0.2,0,73,4790
"74",0.01,0.2,0,74,4751
"75",0.01,0.2,0,75,4665
"76",0.01,0.2,0,76,4856
"77",0.01,0.2,0,77,4880
"78",0.01,0.2,0,78,4845
"79",0.01,0.2,0,79,4693
"80",0.01,0.2,0,80,4775
"81",0.01,0.2,0,81,4827
"82",0.01,0.2,0,82,5015
"83",0.01,0.2,0,83,4795
"84",0.01,0.2,0,84,4942
"85",0.01,0.2,0,85,4856
"86",0.01,0.2,0,86,4973
"87",0.01,0.2,0,87,4874
"88",0.01,0.2,0,88,5109
"89",0.01,0.2,0,89,4678
"90",0.01,0.2,0,90,4822
"91",0.01,0.2,0,91,4965
"92",0.01,0.2,0,92,4743
"93",0.01,0.2,0,93,4789
"94",0.01,0.2,0,94,4945
"95",0.01,0.2,0,95,4973
"96",0.01,0.2,0,96,4780
"97",0.01,0.2,0,97,4770
"98",0.01,0.2,0,98,4902
"99",0.01,0.2,0,99,4969
"100",0.01,0.2,0,100,4869
"101",0.01,0.2,0.2,1,3479
"102",0.01,0.2,0.2,2,3524
"103",0.01,0.2,0.2,3,3605
"104",0.01,0.2,0.2,4,3506
"105",0.01,0.2,0.2,5,3461
"106",0.01,0.2,0.2,6,3553
"107",0.01,0.2,0.2,7,3581
"108",0.01,0.2,0.2,8,3565
"109",0.01,0.2,0.2,9,3437
"110",0.01,0.2,0.2,10,3701
"111",0.01,0.2,0.2,11,3569
"112",0.01,0.2,0.2,12,3514
"113",0.01,0.2,0.2,13,3624
"114",0.01,0.2,0.2,14,3512
"115",0.01,0.2,0.2,15,3704
"116",0.01,0.2,0.2,16,3542
"117",0.01,0.2,0.2,17,3519
"118",0.01,0.2,0.2,18,3422
"119",0.01,0.2,0.2,19,3493
"120",0.01,0.2,0.2,20,3718
"121",0.01,0.2,0.2,21,3527
"122",0.01,0.2,0.2,22,3444
"123",0.01,0.2,0.2,23,3480
"124",0.01,0.2,0.2,24,3567
"125",0.01,0.2,0.2,25,3654
"126",0.01,0.2,0.2,26,3483
"127",0.01,0.2,0.2,27,3475
"128",0.01,0.2,0.2,28,3386
"129",0.01,0.2,0.2,29,3539
"130",0.01,0.2,0.2,30,3415
"131",0.01,0.2,0.2,31,3616
"132",0.01,0.2,0.2,32,3741
"133",0.01,0.2,0.2,33,3728
"134",0.01,0.2,0.2,34,3523
"135",0.01,0.2,0.2,35,3365
"136",0.01,0.2,0.2,36,3366
"137",0.01,0.2,0.2,37,3606
"138",0.01,0.2,0.2,38,3596
"139",0.01,0.2,0.2,39,3492
"140",0.01,0.2,0.2,40,3681
"141",0.01,0.2,0.2,41,3610
"142",0.01,0.2,0.2,42,3649
"143",0.01,0.2,0.2,43,3674
"144",0.01,0.2,0.2,44,3646
"145",0.01,0.2,0.2,45,3656
"146",0.01,0.2,0.2,46,3757
"147",0.01,0.2,0.2,47,3578
"148",0.01,0.2,0.2,48,3504
"149",0.01,0.2,0.2,49,3523
"150",0.01,0.2,0.2,50,3506
"151",0.01,0.2,0.2,51,3530
"152",0.01,0.2,0.2,52,3564
"153",0.01,0.2,0.2,53,3535
"154",0.01,0.2,0.2,54,3380
"155",0.01,0.2,0.2,55,3436
"156",0.01,0.2,0.2,56,3741
"157",0.01,0.2,0.2,57,3524
"158",0.01,0.2,0.2,58,3603
"159",0.01,0.2,0.2,59,3418
"160",0.01,0.2,0.2,60,3640
"161",0.01,0.2,0.2,61,3628
"162",0.01,0.2,0.2,62,3571
"163",0.01,0.2,0.2,63,3654
"164",0.01,0.2,0.2,64,3634
"165",0.01,0.2,0.2,65,3572
"166",0.01,0.2,0.2,66,3581
"167",0.01,0.2,0.2,67,3617
"168",0.01,0.2,0.2,68,3652
"169",0.01,0.2,0.2,69,3519
"170",0.01,0.2,0.2,70,3675
"171",0.01,0.2,0.2,71,3746
"172",0.01,0.2,0.2,72,3575
"173",0.01,0.2,0.2,73,3632
"174",0.01,0.2,0.2,74,3617
"175",0.01,0.2,0.2,75,3450
"176",0.01,0.2,0.2,76,3601
"177",0.01,0.2,0.2,77,3529
"178",0.01,0.2,0.2,78,3614
"179",0.01,0.2,0.2,79,3475
"180",0.01,0.2,0.2,80,3775
"181",0.01,0.2,0.2,81,3603
"182",0.01,0.2,0.2,82,3607
"183",0.01,0.2,0.2,83,3500
"184",0.01,0.2,0.2,84,3501
"185",0.01,0.2,0.2,85,3494
"186",0.01,0.2,0.2,86,3571
"187",0.01,0.2,0.2,87,3662
"188",0.01,0.2,0.2,88,3464
"189",0.01,0.2,0.2,89,3456
"190",0.01,0.2,0.2,90,3657
"191",0.01,0.2,0.2,91,3672
"192",0.01,0.2,0.2,92,3606
"193",0.01,0.2,0.2,93,3620
"194",0.01,0.2,0.2,94,3669
"195",0.01,0.2,0.2,95,3645
"196",0.01,0.2,0.2,96,3623
"197",0.01,0.2,0.2,97,3640
"198",0.01,0.2,0.2,98,3406
"199",0.01,0.2,0.2,99,3665
"200",0.01,0.2,0.2,100,3643
"201",0.01,0.2,0.4,1,2528
"202",0.01,0.2,0.4,2,2566
"203",0.01,0.2,0.4,3,2576
"204",0.01,0.2,0.4,4,2579
"205",0.01,0.2,0.4,5,2616
"206",0.01,0.2,0.4,6,2512
"207",0.01,0.2,0.4,7,2538
"208",0.01,0.2,0.4,8,2590
"209",0.01,0.2,0.4,9,2544
"210",0.01,0.2,0.4,10,2769
"211",0.01,0.2,0.4,11,2753
"212",0.01,0.2,0.4,12,2591
"213",0.01,0.2,0.4,13,2669
"214",0.01,0.2,0.4,14,2588
"215",0.01,0.2,0.4,15,2613
"216",0.01,0.2,0.4,16,2597
"217",0.01,0.2,0.4,17,2571
"218",0.01,0.2,0.4,18,2628
"219",0.01,0.2,0.4,19,2813
"220",0.01,0.2,0.4,20,2785
"221",0.01,0.2,0.4,21,2651
"222",0.01,0.2,0.4,22,2771
"223",0.01,0.2,0.4,23,2666
"224",0.01,0.2,0.4,24,2621
"225",0.01,0.2,0.4,25,2565
"226",0.01,0.2,0.4,26,2696
"227",0.01,0.2,0.4,27,2705
"228",0.01,0.2,0.4,28,2563
"229",0.01,0.2,0.4,29,2484
"230",0.01,0.2,0.4,30,2569
"231",0.01,0.2,0.4,31,2670
"232",0.01,0.2,0.4,32,2478
"233",0.01,0.2,0.4,33,2769
"234",0.01,0.2,0.4,34,2675
"235",0.01,0.2,0.4,35,2650
"236",0.01,0.2,0.4,36,2728
"237",0.01,0.2,0.4,37,2651
"238",0.01,0.2,0.4,38,2694
"239",0.01,0.2,0.4,39,2659
"240",0.01,0.2,0.4,40,2549
"241",0.01,0.2,0.4,41,2506
"242",0.01,0.2,0.4,42,2652
"243",0.01,0.2,0.4,43,2517
"244",0.01,0.2,0.4,44,2466
"245",0.01,0.2,0.4,45,2665
"246",0.01,0.2,0.4,46,2393
"247",0.01,0.2,0.4,47,2779
"248",0.01,0.2,0.4,48,2739
"249",0.01,0.2,0.4,49,2727
"250",0.01,0.2,0.4,50,2549
"251",0.01,0.2,0.4,51,2581
"252",0.01,0.2,0.4,52,2695
"253",0.01,0.2,0.4,53,2703
"254",0.01,0.2,0.4,54,2699
"255",0.01,0.2,0.4,55,2586
"256",0.01,0.2,0.4,56,2634
"257",0.01,0.2,0.4,57,2536
"258",0.01,0.2,0.4,58,2641
"259",0.01,0.2,0.4,59,2831
"260",0.01,0.2,0.4,60,2613
"261",0.01,0.2,0.4,61,2543
"262",0.01,0.2,0.4,62,2623
"263",0.01,0.2,0.4,63,2790
"264",0.01,0.2,0.4,64,2742
"265",0.01,0.2,0.4,65,2547
"266",0.01,0.2,0.4,66,2584
"267",0.01,0.2,0.4,67,2670
"268",0.01,0.2,0.4,68,2622
"269",0.01,0.2,0.4,69,2729
"270",0.01,0.2,0.4,70,2683
"271",0.01,0.2,0.4,71,2516
"272",0.01,0.2,0.4,72,2630
"273",0.01,0.2,0.4,73,2522
"274",0.01,0.2,0.4,74,2583
"275",0.01,0.2,0.4,75,2725
"276",0.01,0.2,0.4,76,2661
"277",0.01,0.2,0.4,77,2643
"278",0.01,0.2,0.4,78,2752
"279",0.01,0.2,0.4,79,2790
"280",0.01,0.2,0.4,80,2762
"281",0.01,0.2,0.4,81,2695
"282",0.01,0.2,0.4,82,2646
"283",0.01,0.2,0.4,83,2596
"284",0.01,0.2,0.4,84,2569
"285",0.01,0.2,0.4,85,2504
"286",0.01,0.2,0.4,86,2547
"287",0.01,0.2,0.4,87,2450
"288",0.01,0.2,0.4,88,2691
"289",0.01,0.2,0.4,89,2674
"290",0.01,0.2,0.4,90,2616
"291",0.01,0.2,0.4,91,2723
"292",0.01,0.2,0.4,92,2631
"293",0.01,0.2,0.4,93,2749
"294",0.01,0.2,0.4,94,2662
"295",0.01,0.2,0.4,95,2605
"296",0.01,0.2,0.4,96,2848
"297",0.01,0.2,0.4,97,2734
"298",0.01,0.2,0.4,98,2532
"299",0.01,0.2,0.4,99,2813
"300",0.01,0.2,0.4,100,2665
"301",0.01,0.2,0.6,1,2039
"302",0.01,0.2,0.6,2,2007
"303",0.01,0.2,0.6,3,1959
"304",0.01,0.2,0.6,4,1836
"305",0.01,0.2,0.6,5,1911
"306",0.01,0.2,0.6,6,1901
"307",0.01,0.2,0.6,7,1919
"308",0.01,0.2,0.6,8,1918
"309",0.01,0.2,0.6,9,1963
"310",0.01,0.2,0.6,10,2060
"311",0.01,0.2,0.6,11,1948
"312",0.01,0.2,0.6,12,1916
"313",0.01,0.2,0.6,13,1860
"314",0.01,0.2,0.6,14,1850
"315",0.01,0.2,0.6,15,1815
"316",0.01,0.2,0.6,16,2016
"317",0.01,0.2,0.6,17,1881
"318",0.01,0.2,0.6,18,1900
"319",0.01,0.2,0.6,19,1909
"320",0.01,0.2,0.6,20,1916
"321",0.01,0.2,0.6,21,1959
"322",0.01,0.2,0.6,22,1949
"323",0.01,0.2,0.6,23,1893
"324",0.01,0.2,0.6,24,1952
"325",0.01,0.2,0.6,25,1872
"326",0.01,0.2,0.6,26,1914
"327",0.01,0.2,0.6,27,2034
"328",0.01,0.2,0.6,28,1852
"329",0.01,0.2,0.6,29,1809
"330",0.01,0.2,0.6,30,1944
"331",0.01,0.2,0.6,31,1887
"332",0.01,0.2,0.6,32,1949
"333",0.01,0.2,0.6,33,2016
"334",0.01,0.2,0.6,34,1929
"335",0.01,0.2,0.6,35,1941
"336",0.01,0.2,0.6,36,1982
"337",0.01,0.2,0.6,37,1883
"338",0.01,0.2,0.6,38,2035
"339",0.01,0.2,0.6,39,1860
"340",0.01,0.2,0.6,40,1971
"341",0.01,0.2,0.6,41,1880
"342",0.01,0.2,0.6,42,2014
"343",0.01,0.2,0.6,43,1883
"344",0.01,0.2,0.6,44,1957
"345",0.01,0.2,0.6,45,1944
"346",0.01,0.2,0.6,46,2016
"347",0.01,0.2,0.6,47,1856
"348",0.01,0.2,0.6,48,2041
"349",0.01,0.2,0.6,49,1984
"350",0.01,0.2,0.6,50,1971
"351",0.01,0.2,0.6,51,1939
"352",0.01,0.2,0.6,52,1955
"353",0.01,0.2,0.6,53,1917
"354",0.01,0.2,0.6,54,1900
"355",0.01,0.2,0.6,55,2041
"356",0.01,0.2,0.6,56,1926
"357",0.01,0.2,0.6,57,2052
"358",0.01,0.2,0.6,58,1938
"359",0.01,0.2,0.6,59,2026
"360",0.01,0.2,0.6,60,1951
"361",0.01,0.2,0.6,61,1860
"362",0.01,0.2,0.6,62,1927
"363",0.01,0.2,0.6,63,2036
"364",0.01,0.2,0.6,64,2015
"365",0.01,0.2,0.6,65,1825
"366",0.01,0.2,0.6,66,1815
"367",0.01,0.2,0.6,67,2001
"368",0.01,0.2,0.6,68,1988
"369",0.01,0.2,0.6,69,2041
"370",0.01,0.2,0.6,70,2195
"371",0.01,0.2,0.6,71,1856
"372",0.01,0.2,0.6,72,2051
"373",0.01,0.2,0.6,73,1931
"374",0.01,0.2,0.6,74,1895
"375",0.01,0.2,0.6,75,1999
"376",0.01,0.2,0.6,76,1997
"377",0.01,0.2,0.6,77,1811
"378",0.01,0.2,0.6,78,1907
"379",0.01,0.2,0.6,79,1865
"380",0.01,0.2,0.6,80,1941
"381",0.01,0.2,0.6,81,1877
"382",0.01,0.2,0.6,82,1956
"383",0.01,0.2,0.6,83,1880
"384",0.01,0.2,0.6,84,1993
"385",0.01,0.2,0.6,85,1946
"386",0.01,0.2,0.6,86,1955
"387",0.01,0.2,0.6,87,1954
"388",0.01,0.2,0.6,88,2123
"389",0.01,0.2,0.6,89,2163
"390",0.01,0.2,0.6,90,1893
"391",0.01,0.2,0.6,91,2097
"392",0.01,0.2,0.6,92,1995
"393",0.01,0.2,0.6,93,2010
"394",0.01,0.2,0.6,94,2051
"395",0.01,0.2,0.6,95,1873
"396",0.01,0.2,0.6,96,2043
"397",0.01,0.2,0.6,97,1822
"398",0.01,0.2,0.6,98,2023
"399",0.01,0.2,0.6,99,1867
"400",0.01,0.2,0.6,100,1853
"401",0.01,0.2,0.8,1,1368
"402",0.01,0.2,0.8,2,1497
"403",0.01,0.2,0.8,3,1312
