"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_segregating_mutations_GC"
"357",0.01,0.2,1e-08,4000,57,213896
"358",0.01,0.2,1e-08,4000,58,212864
"359",0.01,0.2,1e-08,4000,59,208688
"360",0.01,0.2,1e-08,4000,60,206937
"361",0.01,0.2,1e-08,4000,61,213181
"362",0.01,0.2,1e-08,4000,62,213935
"363",0.01,0.2,1e-08,4000,63,210085
"364",0.01,0.2,1e-08,4000,64,202629
"365",0.01,0.2,1e-08,4000,65,217059
"366",0.01,0.2,1e-08,4000,66,212581
"367",0.01,0.2,1e-08,4000,67,208211
"368",0.01,0.2,1e-08,4000,68,212744
"369",0.01,0.2,1e-08,4000,69,217184
"370",0.01,0.2,1e-08,4000,70,218663
"371",0.01,0.2,1e-08,4000,71,207375
"372",0.01,0.2,1e-08,4000,72,209528
"373",0.01,0.2,1e-08,4000,73,213431
"374",0.01,0.2,1e-08,4000,74,217541
"375",0.01,0.2,1e-08,4000,75,201877
"376",0.01,0.2,1e-08,4000,76,206139
"377",0.01,0.2,1e-08,4000,77,208010
"378",0.01,0.2,1e-08,4000,78,208343
"379",0.01,0.2,1e-08,4000,79,211165
"380",0.01,0.2,1e-08,4000,80,206960
"381",0.01,0.2,1e-08,4000,81,210065
"382",0.01,0.2,1e-08,4000,82,207721
"383",0.01,0.2,1e-08,4000,83,213152
"384",0.01,0.2,1e-08,4000,84,209906
"385",0.01,0.2,1e-08,4000,85,209291
"386",0.01,0.2,1e-08,4000,86,209799
"387",0.01,0.2,1e-08,4000,87,203856
"388",0.01,0.2,1e-08,4000,88,206723
"389",0.01,0.2,1e-08,4000,89,204788
"390",0.01,0.2,1e-08,4000,90,209809
"391",0.01,0.2,1e-08,4000,91,208818
"392",0.01,0.2,1e-08,4000,92,211090
"393",0.01,0.2,1e-08,4000,93,209940
"394",0.01,0.2,1e-08,4000,94,203398
"395",0.01,0.2,1e-08,4000,95,207603
"396",0.01,0.2,1e-08,4000,96,214886
"397",0.01,0.2,1e-08,4000,97,204954
"398",0.01,0.2,1e-08,4000,98,211406
"399",0.01,0.2,1e-08,4000,99,210416
"400",0.01,0.2,1e-08,4000,100,218766
"401",0.01,0.2,1e-09,4000,1,333315
"402",0.01,0.2,1e-09,4000,2,336040
"403",0.01,0.2,1e-09,4000,3,327509
"404",0.01,0.2,1e-09,4000,4,329566
"405",0.01,0.2,1e-09,4000,5,330065
"406",0.01,0.2,1e-09,4000,6,329439
"407",0.01,0.2,1e-09,4000,7,330438
"408",0.01,0.2,1e-09,4000,8,332174
"409",0.01,0.2,1e-09,4000,9,329849
"410",0.01,0.2,1e-09,4000,10,331025
"411",0.01,0.2,1e-09,4000,11,333658
"412",0.01,0.2,1e-09,4000,12,334514
"413",0.01,0.2,1e-09,4000,13,330014
"414",0.01,0.2,1e-09,4000,14,331705
"415",0.01,0.2,1e-09,4000,15,331844
"416",0.01,0.2,1e-09,4000,16,332383
"417",0.01,0.2,1e-09,4000,17,329605
"418",0.01,0.2,1e-09,4000,18,326183
"419",0.01,0.2,1e-09,4000,19,337147
"420",0.01,0.2,1e-09,4000,20,329115
"421",0.01,0.2,1e-09,4000,21,333877
"422",0.01,0.2,1e-09,4000,22,332089
"423",0.01,0.2,1e-09,4000,23,336805
"424",0.01,0.2,1e-09,4000,24,332807
"425",0.01,0.2,1e-09,4000,25,334305
"426",0.01,0.2,1e-09,4000,26,336195
"427",0.01,0.2,1e-09,4000,27,327159
"428",0.01,0.2,1e-09,4000,28,330720
"429",0.01,0.2,1e-09,4000,29,329978
"430",0.01,0.2,1e-09,4000,30,333960
"431",0.01,0.2,1e-09,4000,31,331626
"432",0.01,0.2,1e-09,4000,32,332251
"433",0.01,0.2,1e-09,4000,33,336436
"434",0.01,0.2,1e-09,4000,34,328052
"435",0.01,0.2,1e-09,4000,35,334172
"436",0.01,0.2,1e-09,4000,36,325759
"437",0.01,0.2,1e-09,4000,37,330605
"438",0.01,0.2,1e-09,4000,38,329325
"439",0.01,0.2,1e-09,4000,39,335778
"440",0.01,0.2,1e-09,4000,40,329750
"441",0.01,0.2,1e-09,4000,41,334080
"442",0.01,0.2,1e-09,4000,42,335615
"443",0.01,0.2,1e-09,4000,43,330326
"444",0.01,0.2,1e-09,4000,44,334022
"445",0.01,0.2,1e-09,4000,45,328931
"446",0.01,0.2,1e-09,4000,46,332759
"447",0.01,0.2,1e-09,4000,47,326556
"448",0.01,0.2,1e-09,4000,48,332108
"449",0.01,0.2,1e-09,4000,49,334716
"450",0.01,0.2,1e-09,4000,50,326849
"451",0.01,0.2,1e-09,4000,51,328290
"452",0.01,0.2,1e-09,4000,52,329251
"453",0.01,0.2,1e-09,4000,53,334368
"454",0.01,0.2,1e-09,4000,54,326635
"455",0.01,0.2,1e-09,4000,55,328708
"456",0.01,0.2,1e-09,4000,56,331109
"457",0.01,0.2,1e-09,4000,57,330513
"458",0.01,0.2,1e-09,4000,58,334217
"459",0.01,0.2,1e-09,4000,59,332682
"460",0.01,0.2,1e-09,4000,60,330187
"461",0.01,0.2,1e-09,4000,61,334331
"462",0.01,0.2,1e-09,4000,62,333331
"463",0.01,0.2,1e-09,4000,63,334941
"464",0.01,0.2,1e-09,4000,64,327140
"465",0.01,0.2,1e-09,4000,65,330252
"466",0.01,0.2,1e-09,4000,66,336282
"467",0.01,0.2,1e-09,4000,67,325232
"468",0.01,0.2,1e-09,4000,68,333606
"469",0.01,0.2,1e-09,4000,69,334251
"470",0.01,0.2,1e-09,4000,70,335983
"471",0.01,0.2,1e-09,4000,71,330109
"472",0.01,0.2,1e-09,4000,72,330226
"473",0.01,0.2,1e-09,4000,73,333499
"474",0.01,0.2,1e-09,4000,74,329372
"475",0.01,0.2,1e-09,4000,75,330093
"476",0.01,0.2,1e-09,4000,76,330433
"477",0.01,0.2,1e-09,4000,77,327788
"478",0.01,0.2,1e-09,4000,78,332830
"479",0.01,0.2,1e-09,4000,79,335044
"480",0.01,0.2,1e-09,4000,80,332226
"481",0.01,0.2,1e-09,4000,81,329725
"482",0.01,0.2,1e-09,4000,82,339096
"483",0.01,0.2,1e-09,4000,83,327989
"484",0.01,0.2,1e-09,4000,84,334549
"485",0.01,0.2,1e-09,4000,85,326489
"486",0.01,0.2,1e-09,4000,86,332364
"487",0.01,0.2,1e-09,4000,87,333319
"488",0.01,0.2,1e-09,4000,88,333578
"489",0.01,0.2,1e-09,4000,89,327335
"490",0.01,0.2,1e-09,4000,90,330004
"491",0.01,0.2,1e-09,4000,91,324849
"492",0.01,0.2,1e-09,4000,92,332454
"493",0.01,0.2,1e-09,4000,93,332653
"494",0.01,0.2,1e-09,4000,94,328928
"495",0.01,0.2,1e-09,4000,95,327614
"496",0.01,0.2,1e-09,4000,96,329013
"497",0.01,0.2,1e-09,4000,97,330292
"498",0.01,0.2,1e-09,4000,98,337345
"499",0.01,0.2,1e-09,4000,99,329861
"500",0.01,0.2,1e-09,4000,100,327344
"501",0.01,0.2,1e-10,4000,1,343488
"502",0.01,0.2,1e-10,4000,2,351052
"503",0.01,0.2,1e-10,4000,3,349258
"504",0.01,0.2,1e-10,4000,4,347284
"505",0.01,0.2,1e-10,4000,5,345668
"506",0.01,0.2,1e-10,4000,6,343111
"507",0.01,0.2,1e-10,4000,7,345616
"508",0.01,0.2,1e-10,4000,8,344496
"509",0.01,0.2,1e-10,4000,9,348089
"510",0.01,0.2,1e-10,4000,10,345431
"511",0.01,0.2,1e-10,4000,11,347776
"512",0.01,0.2,1e-10,4000,12,347219
"513",0.01,0.2,1e-10,4000,13,350680
"514",0.01,0.2,1e-10,4000,14,345802
"515",0.01,0.2,1e-10,4000,15,342914
"516",0.01,0.2,1e-10,4000,16,350041
"517",0.01,0.2,1e-10,4000,17,349068
"518",0.01,0.2,1e-10,4000,18,348637
"519",0.01,0.2,1e-10,4000,19,349510
"520",0.01,0.2,1e-10,4000,20,348838
"521",0.01,0.2,1e-10,4000,21,346589
"522",0.01,0.2,1e-10,4000,22,344057
"523",0.01,0.2,1e-10,4000,23,344608
"524",0.01,0.2,1e-10,4000,24,345554
"525",0.01,0.2,1e-10,4000,25,348158
"526",0.01,0.2,1e-10,4000,26,347672
"527",0.01,0.2,1e-10,4000,27,345324
"528",0.01,0.2,1e-10,4000,28,345237
"529",0.01,0.2,1e-10,4000,29,344929
"530",0.01,0.2,1e-10,4000,30,349201
"531",0.01,0.2,1e-10,4000,31,346095
"532",0.01,0.2,1e-10,4000,32,349838
"533",0.01,0.2,1e-10,4000,33,345233
"534",0.01,0.2,1e-10,4000,34,347543
"535",0.01,0.2,1e-10,4000,35,347999
"536",0.01,0.2,1e-10,4000,36,343944
"537",0.01,0.2,1e-10,4000,37,343686
"538",0.01,0.2,1e-10,4000,38,344852
"539",0.01,0.2,1e-10,4000,39,349091
"540",0.01,0.2,1e-10,4000,40,350017
"541",0.01,0.2,1e-10,4000,41,344312
"542",0.01,0.2,1e-10,4000,42,346409
"543",0.01,0.2,1e-10,4000,43,345116
"544",0.01,0.2,1e-10,4000,44,348993
"545",0.01,0.2,1e-10,4000,45,345657
"546",0.01,0.2,1e-10,4000,46,344778
"547",0.01,0.2,1e-10,4000,47,346005
"548",0.01,0.2,1e-10,4000,48,349525
"549",0.01,0.2,1e-10,4000,49,343557
"550",0.01,0.2,1e-10,4000,50,344098
"551",0.01,0.2,1e-10,4000,51,347587
"552",0.01,0.2,1e-10,4000,52,347990
"553",0.01,0.2,1e-10,4000,53,350673
"554",0.01,0.2,1e-10,4000,54,350026
"555",0.01,0.2,1e-10,4000,55,345888
"556",0.01,0.2,1e-10,4000,56,347413
"557",0.01,0.2,1e-10,4000,57,345369
"558",0.01,0.2,1e-10,4000,58,342210
"559",0.01,0.2,1e-10,4000,59,341212
"560",0.01,0.2,1e-10,4000,60,349150
"561",0.01,0.2,1e-10,4000,61,348856
"562",0.01,0.2,1e-10,4000,62,351498
"563",0.01,0.2,1e-10,4000,63,343840
"564",0.01,0.2,1e-10,4000,64,346840
"565",0.01,0.2,1e-10,4000,65,346638
"566",0.01,0.2,1e-10,4000,66,349234
"567",0.01,0.2,1e-10,4000,67,349456
"568",0.01,0.2,1e-10,4000,68,343242
"569",0.01,0.2,1e-10,4000,69,347771
"570",0.01,0.2,1e-10,4000,70,345716
"571",0.01,0.2,1e-10,4000,71,349165
"572",0.01,0.2,1e-10,4000,72,347544
"573",0.01,0.2,1e-10,4000,73,346827
"574",0.01,0.2,1e-10,4000,74,351261
"575",0.01,0.2,1e-10,4000,75,345275
"576",0.01,0.2,1e-10,4000,76,347894
"577",0.01,0.2,1e-10,4000,77,348451
"578",0.01,0.2,1e-10,4000,78,348149
"579",0.01,0.2,1e-10,4000,79,344302
"580",0.01,0.2,1e-10,4000,80,348053
"581",0.01,0.2,1e-10,4000,81,350517
"582",0.01,0.2,1e-10,4000,82,350899
"583",0.01,0.2,1e-10,4000,83,346146
"584",0.01,0.2,1e-10,4000,84,346200
"585",0.01,0.2,1e-10,4000,85,350082
"586",0.01,0.2,1e-10,4000,86,347976
"587",0.01,0.2,1e-10,4000,87,346305
"588",0.01,0.2,1e-10,4000,88,343224
"589",0.01,0.2,1e-10,4000,89,344421
"590",0.01,0.2,1e-10,4000,90,347451
"591",0.01,0.2,1e-10,4000,91,351480
"592",0.01,0.2,1e-10,4000,92,347919
"593",0.01,0.2,1e-10,4000,93,346818
"594",0.01,0.2,1e-10,4000,94,345681
"595",0.01,0.2,1e-10,4000,95,347352
"596",0.01,0.2,1e-10,4000,96,349135
"597",0.01,0.2,1e-10,4000,97,340572
"598",0.01,0.2,1e-10,4000,98,346615
"599",0.01,0.2,1e-10,4000,99,347583
"600",0.01,0.2,1e-10,4000,100,342741
"601",0.01,0.2,1e-11,4000,1,349261
"602",0.01,0.2,1e-11,4000,2,348974
"603",0.01,0.2,1e-11,4000,3,344018
"604",0.01,0.2,1e-11,4000,4,349251
"605",0.01,0.2,1e-11,4000,5,346641
"606",0.01,0.2,1e-11,4000,6,347213
"607",0.01,0.2,1e-11,4000,7,347698
"608",0.01,0.2,1e-11,4000,8,352654
"609",0.01,0.2,1e-11,4000,9,350479
"610",0.01,0.2,1e-11,4000,10,351642
"611",0.01,0.2,1e-11,4000,11,347840
"612",0.01,0.2,1e-11,4000,12,352065
"613",0.01,0.2,1e-11,4000,13,344538
"614",0.01,0.2,1e-11,4000,14,345882
"615",0.01,0.2,1e-11,4000,15,350630
"616",0.01,0.2,1e-11,4000,16,348622
"617",0.01,0.2,1e-11,4000,17,347507
"618",0.01,0.2,1e-11,4000,18,342395
"619",0.01,0.2,1e-11,4000,19,350844
"620",0.01,0.2,1e-11,4000,20,348179
"621",0.01,0.2,1e-11,4000,21,349182
"622",0.01,0.2,1e-11,4000,22,352101
"623",0.01,0.2,1e-11,4000,23,344925
"624",0.01,0.2,1e-11,4000,24,349635
"625",0.01,0.2,1e-11,4000,25,351367
"626",0.01,0.2,1e-11,4000,26,347612
"627",0.01,0.2,1e-11,4000,27,350183
"628",0.01,0.2,1e-11,4000,28,349049
"629",0.01,0.2,1e-11,4000,29,352060
"630",0.01,0.2,1e-11,4000,30,348388
"631",0.01,0.2,1e-11,4000,31,350399
"632",0.01,0.2,1e-11,4000,32,351408
"633",0.01,0.2,1e-11,4000,33,347475
"634",0.01,0.2,1e-11,4000,34,350778
"635",0.01,0.2,1e-11,4000,35,349580
"636",0.01,0.2,1e-11,4000,36,349962
"637",0.01,0.2,1e-11,4000,37,348346
"638",0.01,0.2,1e-11,4000,38,351941
"639",0.01,0.2,1e-11,4000,39,350166
"640",0.01,0.2,1e-11,4000,40,349550
"641",0.01,0.2,1e-11,4000,41,347880
"642",0.01,0.2,1e-11,4000,42,346010
"643",0.01,0.2,1e-11,4000,43,352141
"644",0.01,0.2,1e-11,4000,44,351486
"645",0.01,0.2,1e-11,4000,45,350564
"646",0.01,0.2,1e-11,4000,46,349893
"647",0.01,0.2,1e-11,4000,47,351601
"648",0.01,0.2,1e-11,4000,48,347546
"649",0.01,0.2,1e-11,4000,49,349033
"650",0.01,0.2,1e-11,4000,50,352910
"651",0.01,0.2,1e-11,4000,51,351584
"652",0.01,0.2,1e-11,4000,52,347021
"653",0.01,0.2,1e-11,4000,53,348403
"654",0.01,0.2,1e-11,4000,54,350719
"655",0.01,0.2,1e-11,4000,55,344753
"656",0.01,0.2,1e-11,4000,56,346294
"657",0.01,0.2,1e-11,4000,57,351187
"658",0.01,0.2,1e-11,4000,58,349008
"659",0.01,0.2,1e-11,4000,59,344096
"660",0.01,0.2,1e-11,4000,60,351057
"661",0.01,0.2,1e-11,4000,61,348715
"662",0.01,0.2,1e-11,4000,62,349181
"663",0.01,0.2,1e-11,4000,63,342876
"664",0.01,0.2,1e-11,4000,64,347333
"665",0.01,0.2,1e-11,4000,65,348077
"666",0.01,0.2,1e-11,4000,66,345845
"667",0.01,0.2,1e-11,4000,67,350407
"668",0.01,0.2,1e-11,4000,68,348212
"669",0.01,0.2,1e-11,4000,69,349029
"670",0.01,0.2,1e-11,4000,70,347465
"671",0.01,0.2,1e-11,4000,71,348433
"672",0.01,0.2,1e-11,4000,72,345961
"673",0.01,0.2,1e-11,4000,73,347370
"674",0.01,0.2,1e-11,4000,74,350404
"675",0.01,0.2,1e-11,4000,75,349230
"676",0.01,0.2,1e-11,4000,76,353466
"677",0.01,0.2,1e-11,4000,77,346649
"678",0.01,0.2,1e-11,4000,78,347282
"679",0.01,0.2,1e-11,4000,79,348677
"680",0.01,0.2,1e-11,4000,80,351807
"681",0.01,0.2,1e-11,4000,81,346376
"682",0.01,0.2,1e-11,4000,82,348752
"683",0.01,0.2,1e-11,4000,83,347861
"684",0.01,0.2,1e-11,4000,84,351552
"685",0.01,0.2,1e-11,4000,85,348058
"686",0.01,0.2,1e-11,4000,86,349887
"687",0.01,0.2,1e-11,4000,87,345508
"688",0.01,0.2,1e-11,4000,88,345926
"689",0.01,0.2,1e-11,4000,89,347092
"690",0.01,0.2,1e-11,4000,90,349095
"691",0.01,0.2,1e-11,4000,91,348634
"692",0.01,0.2,1e-11,4000,92,344848
"693",0.01,0.2,1e-11,4000,93,344590
"694",0.01,0.2,1e-11,4000,94,350824
"695",0.01,0.2,1e-11,4000,95,351035
"696",0.01,0.2,1e-11,4000,96,349220
"697",0.01,0.2,1e-11,4000,97,349388
"698",0.01,0.2,1e-11,4000,98,344599
"699",0.01,0.2,1e-11,4000,99,348161
"700",0.01,0.2,1e-11,4000,100,347666
