"","Selection_coefficient","Dominance_coefficient","GC_rate","Mean_tract_length","Replicate","N_seg_homo_genotypes_GC"
"1",0.01,0.2,1e-05,100,1,1526
"2",0.01,0.2,1e-05,100,2,658
"3",0.01,0.2,1e-05,100,3,1152
"4",0.01,0.2,1e-05,100,4,933
"5",0.01,0.2,1e-05,100,5,603
"6",0.01,0.2,1e-05,100,6,921
"7",0.01,0.2,1e-05,100,7,1174
"8",0.01,0.2,1e-05,100,8,849
"9",0.01,0.2,1e-05,100,9,900
"10",0.01,0.2,1e-05,100,10,746
"11",0.01,0.2,1e-05,100,11,1123
"12",0.01,0.2,1e-05,100,12,1013
"13",0.01,0.2,1e-05,100,13,900
"14",0.01,0.2,1e-05,100,14,1308
"15",0.01,0.2,1e-05,100,15,685
"16",0.01,0.2,1e-05,100,16,713
"17",0.01,0.2,1e-05,100,17,510
"18",0.01,0.2,1e-05,100,18,1021
"19",0.01,0.2,1e-05,100,19,690
"20",0.01,0.2,1e-05,100,20,652
"21",0.01,0.2,1e-05,100,21,1101
"22",0.01,0.2,1e-05,100,22,702
"23",0.01,0.2,1e-05,100,23,807
"24",0.01,0.2,1e-05,100,24,1373
"25",0.01,0.2,1e-05,100,25,690
"26",0.01,0.2,1e-05,100,26,823
"27",0.01,0.2,1e-05,100,27,1105
"28",0.01,0.2,1e-05,100,28,1060
"29",0.01,0.2,1e-05,100,29,597
"30",0.01,0.2,1e-05,100,30,1040
"31",0.01,0.2,1e-05,100,31,1276
"32",0.01,0.2,1e-05,100,32,1156
"33",0.01,0.2,1e-05,100,33,938
"34",0.01,0.2,1e-05,100,34,1041
"35",0.01,0.2,1e-05,100,35,602
"36",0.01,0.2,1e-05,100,36,872
"37",0.01,0.2,1e-05,100,37,633
"38",0.01,0.2,1e-05,100,38,1166
"39",0.01,0.2,1e-05,100,39,788
"40",0.01,0.2,1e-05,100,40,682
"41",0.01,0.2,1e-05,100,41,789
"42",0.01,0.2,1e-05,100,42,1113
"43",0.01,0.2,1e-05,100,43,916
"44",0.01,0.2,1e-05,100,44,767
"45",0.01,0.2,1e-05,100,45,1049
"46",0.01,0.2,1e-05,100,46,1069
"47",0.01,0.2,1e-05,100,47,867
"48",0.01,0.2,1e-05,100,48,780
"49",0.01,0.2,1e-05,100,49,645
"50",0.01,0.2,1e-05,100,50,652
"51",0.01,0.2,1e-05,100,51,817
"52",0.01,0.2,1e-05,100,52,657
"53",0.01,0.2,1e-05,100,53,745
"54",0.01,0.2,1e-05,100,54,1051
"55",0.01,0.2,1e-05,100,55,938
"56",0.01,0.2,1e-05,100,56,614
"57",0.01,0.2,1e-05,100,57,933
"58",0.01,0.2,1e-05,100,58,809
"59",0.01,0.2,1e-05,100,59,895
"60",0.01,0.2,1e-05,100,60,1034
"61",0.01,0.2,1e-05,100,61,779
"62",0.01,0.2,1e-05,100,62,692
"63",0.01,0.2,1e-05,100,63,660
"64",0.01,0.2,1e-05,100,64,506
"65",0.01,0.2,1e-05,100,65,857
"66",0.01,0.2,1e-05,100,66,527
"67",0.01,0.2,1e-05,100,67,530
"68",0.01,0.2,1e-05,100,68,783
"69",0.01,0.2,1e-05,100,69,859
"70",0.01,0.2,1e-05,100,70,1184
"71",0.01,0.2,1e-05,100,71,692
"72",0.01,0.2,1e-05,100,72,964
"73",0.01,0.2,1e-05,100,73,1132
"74",0.01,0.2,1e-05,100,74,930
"75",0.01,0.2,1e-05,100,75,899
"76",0.01,0.2,1e-05,100,76,843
"77",0.01,0.2,1e-05,100,77,746
"78",0.01,0.2,1e-05,100,78,702
"79",0.01,0.2,1e-05,100,79,574
"80",0.01,0.2,1e-05,100,80,857
"81",0.01,0.2,1e-05,100,81,1028
"82",0.01,0.2,1e-05,100,82,1417
"83",0.01,0.2,1e-05,100,83,581
"84",0.01,0.2,1e-05,100,84,800
"85",0.01,0.2,1e-05,100,85,1492
"86",0.01,0.2,1e-05,100,86,822
"87",0.01,0.2,1e-05,100,87,1295
"88",0.01,0.2,1e-05,100,88,520
"89",0.01,0.2,1e-05,100,89,459
"90",0.01,0.2,1e-05,100,90,584
"91",0.01,0.2,1e-05,100,91,751
"92",0.01,0.2,1e-05,100,92,586
"93",0.01,0.2,1e-05,100,93,1002
"94",0.01,0.2,1e-05,100,94,637
"95",0.01,0.2,1e-05,100,95,1046
"96",0.01,0.2,1e-05,100,96,1181
"97",0.01,0.2,1e-05,100,97,768
"98",0.01,0.2,1e-05,100,98,983
"99",0.01,0.2,1e-05,100,99,679
"100",0.01,0.2,1e-05,100,100,979
"101",0.01,0.2,1e-06,100,1,540
"102",0.01,0.2,1e-06,100,2,637
"103",0.01,0.2,1e-06,100,3,945
"104",0.01,0.2,1e-06,100,4,877
"105",0.01,0.2,1e-06,100,5,694
"106",0.01,0.2,1e-06,100,6,729
"107",0.01,0.2,1e-06,100,7,787
"108",0.01,0.2,1e-06,100,8,512
"109",0.01,0.2,1e-06,100,9,582
"110",0.01,0.2,1e-06,100,10,767
"111",0.01,0.2,1e-06,100,11,397
"112",0.01,0.2,1e-06,100,12,466
"113",0.01,0.2,1e-06,100,13,488
"114",0.01,0.2,1e-06,100,14,494
"115",0.01,0.2,1e-06,100,15,509
"116",0.01,0.2,1e-06,100,16,442
"117",0.01,0.2,1e-06,100,17,384
"118",0.01,0.2,1e-06,100,18,695
"119",0.01,0.2,1e-06,100,19,448
"120",0.01,0.2,1e-06,100,20,647
"121",0.01,0.2,1e-06,100,21,410
"122",0.01,0.2,1e-06,100,22,542
"123",0.01,0.2,1e-06,100,23,506
"124",0.01,0.2,1e-06,100,24,433
"125",0.01,0.2,1e-06,100,25,549
"126",0.01,0.2,1e-06,100,26,510
"127",0.01,0.2,1e-06,100,27,938
"128",0.01,0.2,1e-06,100,28,693
"129",0.01,0.2,1e-06,100,29,525
"130",0.01,0.2,1e-06,100,30,943
"131",0.01,0.2,1e-06,100,31,592
"132",0.01,0.2,1e-06,100,32,771
"133",0.01,0.2,1e-06,100,33,718
"134",0.01,0.2,1e-06,100,34,636
"135",0.01,0.2,1e-06,100,35,488
"136",0.01,0.2,1e-06,100,36,1279
"137",0.01,0.2,1e-06,100,37,695
"138",0.01,0.2,1e-06,100,38,617
"139",0.01,0.2,1e-06,100,39,429
"140",0.01,0.2,1e-06,100,40,575
"141",0.01,0.2,1e-06,100,41,681
"142",0.01,0.2,1e-06,100,42,817
"143",0.01,0.2,1e-06,100,43,484
"144",0.01,0.2,1e-06,100,44,546
"145",0.01,0.2,1e-06,100,45,481
"146",0.01,0.2,1e-06,100,46,776
"147",0.01,0.2,1e-06,100,47,659
"148",0.01,0.2,1e-06,100,48,738
"149",0.01,0.2,1e-06,100,49,566
"150",0.01,0.2,1e-06,100,50,458
"151",0.01,0.2,1e-06,100,51,762
"152",0.01,0.2,1e-06,100,52,831
"153",0.01,0.2,1e-06,100,53,603
"154",0.01,0.2,1e-06,100,54,468
"155",0.01,0.2,1e-06,100,55,832
"156",0.01,0.2,1e-06,100,56,481
"157",0.01,0.2,1e-06,100,57,918
"158",0.01,0.2,1e-06,100,58,579
"159",0.01,0.2,1e-06,100,59,1009
"160",0.01,0.2,1e-06,100,60,834
"161",0.01,0.2,1e-06,100,61,533
"162",0.01,0.2,1e-06,100,62,388
"163",0.01,0.2,1e-06,100,63,840
"164",0.01,0.2,1e-06,100,64,1047
"165",0.01,0.2,1e-06,100,65,608
"166",0.01,0.2,1e-06,100,66,655
"167",0.01,0.2,1e-06,100,67,1082
"168",0.01,0.2,1e-06,100,68,532
"169",0.01,0.2,1e-06,100,69,798
"170",0.01,0.2,1e-06,100,70,681
"171",0.01,0.2,1e-06,100,71,844
"172",0.01,0.2,1e-06,100,72,509
"173",0.01,0.2,1e-06,100,73,769
"174",0.01,0.2,1e-06,100,74,1102
"175",0.01,0.2,1e-06,100,75,374
"176",0.01,0.2,1e-06,100,76,712
"177",0.01,0.2,1e-06,100,77,947
"178",0.01,0.2,1e-06,100,78,765
"179",0.01,0.2,1e-06,100,79,452
"180",0.01,0.2,1e-06,100,80,703
"181",0.01,0.2,1e-06,100,81,544
"182",0.01,0.2,1e-06,100,82,506
"183",0.01,0.2,1e-06,100,83,381
"184",0.01,0.2,1e-06,100,84,574
"185",0.01,0.2,1e-06,100,85,530
"186",0.01,0.2,1e-06,100,86,476
"187",0.01,0.2,1e-06,100,87,852
"188",0.01,0.2,1e-06,100,88,694
"189",0.01,0.2,1e-06,100,89,603
"190",0.01,0.2,1e-06,100,90,498
"191",0.01,0.2,1e-06,100,91,731
"192",0.01,0.2,1e-06,100,92,372
"193",0.01,0.2,1e-06,100,93,659
"194",0.01,0.2,1e-06,100,94,660
"195",0.01,0.2,1e-06,100,95,525
"196",0.01,0.2,1e-06,100,96,694
"197",0.01,0.2,1e-06,100,97,1147
"198",0.01,0.2,1e-06,100,98,615
"199",0.01,0.2,1e-06,100,99,569
"200",0.01,0.2,1e-06,100,100,635
"201",0.01,0.2,1e-07,100,1,91
"202",0.01,0.2,1e-07,100,2,100
"203",0.01,0.2,1e-07,100,3,148
"204",0.01,0.2,1e-07,100,4,62
"205",0.01,0.2,1e-07,100,5,74
"206",0.01,0.2,1e-07,100,6,124
"207",0.01,0.2,1e-07,100,7,144
"208",0.01,0.2,1e-07,100,8,108
"209",0.01,0.2,1e-07,100,9,136
"210",0.01,0.2,1e-07,100,10,105
"211",0.01,0.2,1e-07,100,11,74
"212",0.01,0.2,1e-07,100,12,97
"213",0.01,0.2,1e-07,100,13,52
"214",0.01,0.2,1e-07,100,14,121
"215",0.01,0.2,1e-07,100,15,107
"216",0.01,0.2,1e-07,100,16,50
"217",0.01,0.2,1e-07,100,17,77
"218",0.01,0.2,1e-07,100,18,138
"219",0.01,0.2,1e-07,100,19,64
"220",0.01,0.2,1e-07,100,20,116
"221",0.01,0.2,1e-07,100,21,171
"222",0.01,0.2,1e-07,100,22,151
"223",0.01,0.2,1e-07,100,23,107
"224",0.01,0.2,1e-07,100,24,102
"225",0.01,0.2,1e-07,100,25,64
"226",0.01,0.2,1e-07,100,26,180
"227",0.01,0.2,1e-07,100,27,81
"228",0.01,0.2,1e-07,100,28,62
"229",0.01,0.2,1e-07,100,29,63
"230",0.01,0.2,1e-07,100,30,54
"231",0.01,0.2,1e-07,100,31,81
"232",0.01,0.2,1e-07,100,32,79
"233",0.01,0.2,1e-07,100,33,124
"234",0.01,0.2,1e-07,100,34,100
"235",0.01,0.2,1e-07,100,35,106
"236",0.01,0.2,1e-07,100,36,111
"237",0.01,0.2,1e-07,100,37,96
"238",0.01,0.2,1e-07,100,38,116
"239",0.01,0.2,1e-07,100,39,103
"240",0.01,0.2,1e-07,100,40,112
"241",0.01,0.2,1e-07,100,41,46
"242",0.01,0.2,1e-07,100,42,106
"243",0.01,0.2,1e-07,100,43,112
"244",0.01,0.2,1e-07,100,44,94
"245",0.01,0.2,1e-07,100,45,113
"246",0.01,0.2,1e-07,100,46,106
"247",0.01,0.2,1e-07,100,47,168
"248",0.01,0.2,1e-07,100,48,52
"249",0.01,0.2,1e-07,100,49,54
"250",0.01,0.2,1e-07,100,50,78
"251",0.01,0.2,1e-07,100,51,254
"252",0.01,0.2,1e-07,100,52,76
"253",0.01,0.2,1e-07,100,53,116
"254",0.01,0.2,1e-07,100,54,163
"255",0.01,0.2,1e-07,100,55,97
"256",0.01,0.2,1e-07,100,56,120
"257",0.01,0.2,1e-07,100,57,132
"258",0.01,0.2,1e-07,100,58,102
"259",0.01,0.2,1e-07,100,59,103
"260",0.01,0.2,1e-07,100,60,189
"261",0.01,0.2,1e-07,100,61,194
"262",0.01,0.2,1e-07,100,62,113
"263",0.01,0.2,1e-07,100,63,158
"264",0.01,0.2,1e-07,100,64,135
"265",0.01,0.2,1e-07,100,65,117
"266",0.01,0.2,1e-07,100,66,93
"267",0.01,0.2,1e-07,100,67,118
"268",0.01,0.2,1e-07,100,68,196
"269",0.01,0.2,1e-07,100,69,59
"270",0.01,0.2,1e-07,100,70,106
"271",0.01,0.2,1e-07,100,71,96
"272",0.01,0.2,1e-07,100,72,62
"273",0.01,0.2,1e-07,100,73,89
"274",0.01,0.2,1e-07,100,74,89
"275",0.01,0.2,1e-07,100,75,159
"276",0.01,0.2,1e-07,100,76,59
"277",0.01,0.2,1e-07,100,77,101
"278",0.01,0.2,1e-07,100,78,40
"279",0.01,0.2,1e-07,100,79,120
"280",0.01,0.2,1e-07,100,80,87
"281",0.01,0.2,1e-07,100,81,94
"282",0.01,0.2,1e-07,100,82,101
"283",0.01,0.2,1e-07,100,83,43
"284",0.01,0.2,1e-07,100,84,168
"285",0.01,0.2,1e-07,100,85,106
"286",0.01,0.2,1e-07,100,86,95
"287",0.01,0.2,1e-07,100,87,116
"288",0.01,0.2,1e-07,100,88,120
"289",0.01,0.2,1e-07,100,89,82
"290",0.01,0.2,1e-07,100,90,64
"291",0.01,0.2,1e-07,100,91,71
"292",0.01,0.2,1e-07,100,92,70
"293",0.01,0.2,1e-07,100,93,153
"294",0.01,0.2,1e-07,100,94,98
"295",0.01,0.2,1e-07,100,95,48
"296",0.01,0.2,1e-07,100,96,75
"297",0.01,0.2,1e-07,100,97,60
"298",0.01,0.2,1e-07,100,98,179
"299",0.01,0.2,1e-07,100,99,206
"300",0.01,0.2,1e-07,100,100,132
"301",0.01,0.2,1e-08,100,1,6
"302",0.01,0.2,1e-08,100,2,3
"303",0.01,0.2,1e-08,100,3,5
"304",0.01,0.2,1e-08,100,4,3
"305",0.01,0.2,1e-08,100,5,12
"306",0.01,0.2,1e-08,100,6,8
"307",0.01,0.2,1e-08,100,7,9
"308",0.01,0.2,1e-08,100,8,6
"309",0.01,0.2,1e-08,100,9,11
"310",0.01,0.2,1e-08,100,10,7
"311",0.01,0.2,1e-08,100,11,1
"312",0.01,0.2,1e-08,100,12,6
"313",0.01,0.2,1e-08,100,13,9
"314",0.01,0.2,1e-08,100,14,3
"315",0.01,0.2,1e-08,100,15,9
"316",0.01,0.2,1e-08,100,16,22
"317",0.01,0.2,1e-08,100,17,9
"318",0.01,0.2,1e-08,100,18,4
"319",0.01,0.2,1e-08,100,19,8
"320",0.01,0.2,1e-08,100,20,8
"321",0.01,0.2,1e-08,100,21,10
"322",0.01,0.2,1e-08,100,22,7
"323",0.01,0.2,1e-08,100,23,8
"324",0.01,0.2,1e-08,100,24,8
"325",0.01,0.2,1e-08,100,25,4
"326",0.01,0.2,1e-08,100,26,13
"327",0.01,0.2,1e-08,100,27,3
"328",0.01,0.2,1e-08,100,28,3
"329",0.01,0.2,1e-08,100,29,11
"330",0.01,0.2,1e-08,100,30,62
"331",0.01,0.2,1e-08,100,31,6
"332",0.01,0.2,1e-08,100,32,5
"333",0.01,0.2,1e-08,100,33,17
"334",0.01,0.2,1e-08,100,34,4
"335",0.01,0.2,1e-08,100,35,4
"336",0.01,0.2,1e-08,100,36,4
"337",0.01,0.2,1e-08,100,37,7
"338",0.01,0.2,1e-08,100,38,3
"339",0.01,0.2,1e-08,100,39,10
"340",0.01,0.2,1e-08,100,40,8
"341",0.01,0.2,1e-08,100,41,6
"342",0.01,0.2,1e-08,100,42,7
"343",0.01,0.2,1e-08,100,43,8
"344",0.01,0.2,1e-08,100,44,12
"345",0.01,0.2,1e-08,100,45,7
"346",0.01,0.2,1e-08,100,46,10
"347",0.01,0.2,1e-08,100,47,3
"348",0.01,0.2,1e-08,100,48,12
"349",0.01,0.2,1e-08,100,49,1
"350",0.01,0.2,1e-08,100,50,9
"351",0.01,0.2,1e-08,100,51,3
"352",0.01,0.2,1e-08,100,52,4
"353",0.01,0.2,1e-08,100,53,24
"354",0.01,0.2,1e-08,100,54,14
"355",0.01,0.2,1e-08,100,55,6
"356",0.01,0.2,1e-08,100,56,9
"357",0.01,0.2,1e-08,100,57,5
"358",0.01,0.2,1e-08,100,58,26
"359",0.01,0.2,1e-08,100,59,3
"360",0.01,0.2,1e-08,100,60,11
"361",0.01,0.2,1e-08,100,61,4
"362",0.01,0.2,1e-08,100,62,73
"363",0.01,0.2,1e-08,100,63,1
"364",0.01,0.2,1e-08,100,64,5
"365",0.01,0.2,1e-08,100,65,9
"366",0.01,0.2,1e-08,100,66,6
"367",0.01,0.2,1e-08,100,67,14
"368",0.01,0.2,1e-08,100,68,6
"369",0.01,0.2,1e-08,100,69,4
"370",0.01,0.2,1e-08,100,70,2
"371",0.01,0.2,1e-08,100,71,3
"372",0.01,0.2,1e-08,100,72,8
"373",0.01,0.2,1e-08,100,73,10
"374",0.01,0.2,1e-08,100,74,13
"375",0.01,0.2,1e-08,100,75,8
"376",0.01,0.2,1e-08,100,76,7
"377",0.01,0.2,1e-08,100,77,19
"378",0.01,0.2,1e-08,100,78,4
"379",0.01,0.2,1e-08,100,79,55
"380",0.01,0.2,1e-08,100,80,12
"381",0.01,0.2,1e-08,100,81,11
"382",0.01,0.2,1e-08,100,82,21
"383",0.01,0.2,1e-08,100,83,11
"384",0.01,0.2,1e-08,100,84,4
"385",0.01,0.2,1e-08,100,85,5
"386",0.01,0.2,1e-08,100,86,50
"387",0.01,0.2,1e-08,100,87,8
"388",0.01,0.2,1e-08,100,88,8
"389",0.01,0.2,1e-08,100,89,7
"390",0.01,0.2,1e-08,100,90,9
"391",0.01,0.2,1e-08,100,91,6
"392",0.01,0.2,1e-08,100,92,3
"393",0.01,0.2,1e-08,100,93,0
"394",0.01,0.2,1e-08,100,94,7
